id,name,description,price,imageUrls,category,keywords
5525,LOCTITE HM18 Urethane Cartridge Gun,"The LOCTITE HM18 Urethane Cartridge Gun is an essential tool for professionals and DIY enthusiasts alike. This durable and reliable gun is designed to dispense LOCTITE HM18 urethane adhesive with precision and ease. Its ergonomic design reduces fatigue during prolonged use, while the adjustable pressure control ensures a consistent bead every time. Ideal for bonding a wide range of materials, including metals, plastics, and wood, the HM18 is the perfect choice for demanding applications.  

Keywords: LOCTITE HM18, urethane cartridge gun, adhesive dispensing, HM18 urethane, professional tool, DIY tool, ergonomic design, pressure control, versatile bonding, durable construction",,"https://ik.imagekit.io/manwar1/5525-3_fCXaJXdZ-.jpg,https://ik.imagekit.io/manwar1/5525-1_Cm4iNHXvn.jpg,https://emg.trustglobal.eu.org/images/no-p.jpg",Industrial Chemicals,"LOCTITE HM18 Urethane Cartridge Gun , adhesive sealant, Bangladesh, construction adhesive, sealant for leaks, waterproof sealant, bonding agent, thread sealant, electronic sealant, industrial adhesive"
5526,LOCTITE Hot Melt Gun Thermostat Assembly,"The LOCTITE Hot Melt Gun Thermostat Assembly ensures precise temperature control for optimal hot melt adhesive performance. Featuring a user-friendly design and durable construction, this assembly guarantees consistent heat application for a wide range of bonding applications. Achieve professional-level results with this reliable and efficient thermostat assembly, designed to enhance your hot melt gun experience. 

Keywords: LOCTITE, Hot Melt Gun, Thermostat Assembly, Temperature Control, Adhesive Bonding, Precision, Durable, Reliable, Consistent Heat, User-Friendly Design",,"https://ik.imagekit.io/lord8131/5526-1_SsPx7AzJm-.jpg,https://ik.imagekit.io/lord8131/5526-2_-5iboPFc2.jpg,https://ik.imagekit.io/lord8131/5526-3_QJh5W3ahX.jpg",Industrial Chemicals,"Loctite, Hot Melt Gun, Thermostat Assembly, Bangladesh Ecommerce, Online Shopping BD, Adhesive Gun, Bonding Tool, Industrial Equipment BD, DIY Supplies BD, Bangladesh Online Store"
5527,LOCTITE Mounting Bracket Syringe Kit (30/55ml),"Securely mount your equipment with the LOCTITE Mounting Bracket Syringe Kit. This versatile kit includes two syringes, a 30ml and a 55ml, pre-filled with high-performance LOCTITE adhesive.  Perfect for DIY projects, industrial applications, and everything in between, this kit provides the strength and reliability you need for a lasting bond.  Easy to use and mess-free, the syringe applicator ensures precise application for a professional finish.  

Keywords: LOCTITE, Mounting Bracket, Syringe Kit, adhesive, mounting, DIY, industrial, strength, bond, applicator,",,"https://ik.imagekit.io/manwar1/5527-1_kwDY1ROJAN.jpg,https://ik.imagekit.io/manwar1/5527-2_7sejUBQw2.jpg,https://ik.imagekit.io/manwar1/5527-3_C8aurVb3S.jpg",Industrial Chemicals,"Locate, Locite, Mounting, Bracket, Syringe, Kit, 30ml, 55ml, Bangladesh, Online"
5528,LOCTITE 175 Spray Series Hot Melt Applicator,"The LOCTITE 175 Spray Series Hot Melt Applicator delivers precision and control for your hot melt adhesive needs. This powerful tool features a user-friendly spray design, allowing for quick and even application of adhesive to a variety of surfaces.  Ideal for bonding cardboard, wood, fabric, and more, the LOCTITE 175 Spray Series provides a strong, lasting bond that withstands both heat and moisture.  Enjoy the convenience of mess-free application and superior adhesion with this indispensable tool.

Keywords:  LOCTITE, hot melt, applicator, spray, adhesive, bonding, cardboard, wood, fabric, durable",,"https://ik.imagekit.io/lord8131/5528-2_Vwlx_7bkqH.jpg,https://ik.imagekit.io/lord8131/5528-1_r5IofI4m70.jpg,https://ik.imagekit.io/lord8131/5528-3__cQ0s2tWr5.jpg",Industrial Chemicals,"Locate, Bangladeshi Ecommerce, Hot Melt Applicator, Adhesive Spray, LOCTITE 175, Melt Spray, Hot Glue Gun, Adhesive Application, Spray Applicator, Bangladesh Online Shopping"
5529,LOCTITE Needle Tip Light Blocking Shield,"Keep your projects bright and focused with the LOCTITE Needle Tip Light Blocking Shield. This handy tool utilizes a precisely engineered needle tip to deliver a targeted application of light-blocking adhesive, minimizing waste and ensuring clean, precise placement. Perfect for intricate repairs, micro-welding, and applications requiring a controlled flow of adhesive, the LOCTITE Needle Tip Light Blocking Shield offers unparalleled accuracy and efficiency. 

Keywords: LOCTITE, light blocking, shield, needle tip, adhesive, precision, application, repairs, micro-welding, controlled flow",,"https://ik.imagekit.io/manwar1/5529-3_bIJN-iFfXJ.jpg,https://ik.imagekit.io/manwar1/5529-2_KTGCoU1MDT.jpg,https://ik.imagekit.io/manwar1/5529-1_gtR-qHQiGc.jpg",Industrial Chemicals,"locite, needle, tip, light, blocking, shield, adhesive, Bangladesh, bangladeshi, online"
5530,LOCTITE Poppet Valve Mounting Bracket,"Ensure a secure and reliable seal every time with the LOCTITE Poppet Valve Mounting Bracket. This robust bracket is specifically designed to provide a stable platform for poppet valves, preventing leaks and ensuring optimal performance. Its durable construction withstands extreme temperatures and pressures, making it ideal for demanding industrial applications.  

Easy to install and maintain, this bracket simplifies valve mounting and reduces downtime. Trust LOCTITE for quality and performance.

Keywords: LOCTITE, Poppet Valve Mounting Bracket, Valve Mounting, Leak Prevention, Industrial Applications, Durable Bracket, Secure Seal, Stable Platform, Poppet Valve, High Performance",,"https://ik.imagekit.io/lord8131/5530-2_My4QP5l8G1.jpg,https://ik.imagekit.io/lord8131/5530-1_97fKVBqS3N.jpg,https://ik.imagekit.io/lord8131/5530-3_1iloj069XD.jpg",Industrial Chemicals,"Locate, Locite, Poppet Valve, Mounting Bracket, Bangladesh, Ecommerce, Online Shopping, Product, Bangladesh Product, Bangladeshi Ecommerce, Locite Bangladesh"
5531,LOCTITE HM18 Cartridge Adapter,"The LOCTITE HM18 Cartridge Adapter is a must-have tool for anyone working with LOCTITE HM18 high-strength anaerobic threadlocker.  This adapter simplifies the application process, allowing you to easily dispense the precise amount of adhesive needed for a secure and reliable bond.  Designed for use with standard caulking guns, the adapter ensures smooth and consistent flow, eliminating messy drips and wasted product.  Upgrade your threadlocking experience with the LOCTITE HM18 Cartridge Adapter.

Keywords: LOCTITE, HM18, Cartridge Adapter, threadlocker, anaerobic adhesive, dispensing, application, caulking gun, high-strength, secure bond",,"https://ik.imagekit.io/manwar1/5531-2_iVKD6CcDIO.jpg,https://ik.imagekit.io/manwar1/5531-3_BGFTvI5rAC.jpg,https://ik.imagekit.io/manwar1/5531-1_QhsH8po0RH.jpg",Industrial Chemicals,"Here are the 10 keywords for the ecommerce site:

Loctite HM18, Cartridge Adapter, Bangladesh, Industrial Adhesives, Adhesive Equipment, Product Packaging, Online Shopping BD, Industrial Supplies BD, Manufacturing Solutions, Ecommerce BD"
5532,LOCTITE 175 Air Hot Melt Applicator Heater Assembly,"Effortlessly dispense precise amounts of hot melt adhesive with the LOCTITE 175 Air Hot Melt Applicator Heater Assembly. This compact and reliable tool features a user-friendly design, allowing for quick and easy operation.  Its adjustable temperature control ensures optimal melting and bonding for a variety of materials.  

Ideal for workshops, hobbyists, and light industrial applications, the LOCTITE 175 delivers consistent performance and precise application.  

Keywords: LOCTITE 175, hot melt applicator, heater assembly, adhesive dispensing, hot glue gun, industrial tool, workshop equipment, hobby supplies, temperature control, precise application",,"https://ik.imagekit.io/lord8131/5532-1_1VSG26-ppm.jpg,https://ik.imagekit.io/lord8131/5532-2_uvnMYfoeQ.jpg,https://ik.imagekit.io/lord8131/5532-3_0H9wApULWm.jpg",Industrial Chemicals,"Locate, Bangladesh, Ecommerce, Adhesive, Melt, Applicator, Heater, Assembly, Hot, Melt"
5533,LOCTITE Dial-A-Seal Chamber Assembly,"The LOCTITE Dial-A-Seal Chamber Assembly is your ultimate solution for fast, reliable, and precise sealing in demanding industrial applications. This innovative tool features a user-friendly dial system that allows for effortless adjustment of sealant volume, ensuring consistent results every time.  

Its ergonomic design and robust construction ensure comfortable handling and long-lasting performance. Whether you're assembling machines, electronics, or any other critical equipment, the Dial-A-Seal Chamber Assembly provides the accuracy and efficiency you need. 

Keywords: LOCTITE, Dial-A-Seal, Chamber Assembly, sealant, industrial, applications, tools, precision, reliable, consistent",,"https://ik.imagekit.io/manwar1/5533-3_zHHZsQJVU.jpg,https://ik.imagekit.io/manwar1/5533-2_-p0RGHG9Yw.jpg,https://ik.imagekit.io/manwar1/5533-1_V_W5ZpSUb.jpg",Industrial Chemicals,"Here are the keywords for the ecommerce site:

LOCTITE, Dial-A-Seal, Chamber Assembly, Bangladesh, Online Shopping, Ecommerce, Product, Electronics, Industrial Supplies, Adhesives"
5534,LOCTITE Hot Melt Applicator Piston Support O-Ring Kit,"Ensure a perfect seal every time with the LOCTITE Hot Melt Applicator Piston Support O-Ring Kit. This essential kit contains all the necessary components to maintain the integrity of your hot melt applicator piston, preventing leaks and ensuring smooth, consistent application. 

Replace worn or damaged O-rings easily, extending the life of your applicator and guaranteeing high-quality bonding results. 

Keywords: LOCTITE, hot melt applicator, piston support, O-ring kit, O-rings, leak prevention,  hot melt adhesive, applicator maintenance, bonding, sealant",,"https://ik.imagekit.io/lord8131/5534-3_jgW9f3oK1.jpg,https://ik.imagekit.io/lord8131/5534-1_emmLsmrWc.jpg,https://ik.imagekit.io/lord8131/5534-2_kzREmp1aAI.jpg",Industrial Chemicals,"Locate, Melt, Applicator, Piston, Support, O-Ring, Kit, Bangladesh, Online, Shopping"
5535,SONDERHOFF Dosing Cell 3E PUR,"The SONDERHOFF Dosing Cell 3E PUR is a precision metering system designed for reliable and accurate chemical dispensing in a variety of applications. This robust cell features a durable stainless steel construction and a user-friendly interface, making it ideal for demanding industrial environments. 

With its advanced sensor technology and precise piston control, the 3E PUR ensures consistent dosing accuracy, minimizing waste and optimizing processes.  


Keywords: SONDERHOFF, Dosing Cell, 3E PUR, chemical dispensing, metering system, precision dosing, stainless steel, industrial applications, accurate, reliable",,"https://ik.imagekit.io/manwar1/5535-3_9vO2-263Zo.jpg,https://ik.imagekit.io/manwar1/5535-2_EMKu9UR9Bo.jpg,https://ik.imagekit.io/manwar1/5535-1_CWTFVA7dQ.jpg",Industrial Chemicals,"Sonderhoff, Dosing, Cell, 3E, PUR, Bangladesh, Ecommerce, Online, Shopping, Bangladeshi, Products"
5536,LOCTITE Cartridge Mounting Bracket Kit (300 ml),"Securely mount your LOCTITE 300ml cartridge with the LOCTITE Cartridge Mounting Bracket Kit. This durable and easy-to-install bracket provides a stable platform for your adhesive, keeping it accessible and preventing spills.  Perfect for workshops, garages, and industrial settings, this kit ensures convenient and controlled application of your LOCTITE products.

Keywords: LOCTITE, cartridge, mounting, bracket, kit, adhesive, sealant, 300ml, mounting bracket, industrial adhesive",,"https://ik.imagekit.io/lord8131/5536-1_2HjhD8g4Aq.jpg,https://ik.imagekit.io/lord8131/5536-3_uHQlcxNfGM.jpg,https://ik.imagekit.io/lord8131/5536-2_5JOubmZ3uc.jpg",Industrial Chemicals,"Locate, Locite, Cartridge, Mounting, Bracket, Kit, 300ml, Adhesive, Bangladesh, Online"
5537,LOCTITE Hot Melt Gun Thermostat Assembly,"The LOCTITE Hot Melt Gun Thermostat Assembly is a high-quality replacement part designed for use with LOCTITE hot melt guns. This thermostat assembly is engineered to provide precise temperature control, ensuring consistent and reliable performance from your hot melt gun. It is easy to install and maintain, making it a convenient solution for users. The thermostat assembly is built to last, with durable construction and high-quality materials that withstand the demands of frequent use. By upgrading to this thermostat assembly, you can extend the life of your hot melt gun and improve its overall performance. 
Keywords: LOCTITE Hot Melt Gun Thermostat Assembly temperature control replacement part hot melt gun adhesive gun glue gun thermostat temperature regulator",,"https://ik.imagekit.io/manwar1/5537-2_SbS2ORHe6i.jpg,https://ik.imagekit.io/manwar1/5537-3_0bRy0YJu29.jpg,https://ik.imagekit.io/manwar1/5537-1_Atd8sZHmy.jpg",Industrial Chemicals,"Here are 10 keywords for an ecommerce site selling products in Bangladesh:

Locate, Hot Melt Gun, Thermostat Assembly, Bangladesh Market, Ecommerce Site, Adhesive Gun, Industrial Supplies, Bangladeshi Products, Online Shopping, Bangla Market"
5538,LOCTITE Hot Melt Applicator Piston Support O-Ring Kit,"LOCTITE Hot Melt Applicator Piston Support O-Ring Kit is designed to provide a reliable and efficient solution for hot melt applicator maintenance. This kit contains a set of high-quality O-rings specifically designed to support the piston of your hot melt applicator. The O-rings are made from durable materials that can withstand high temperatures and ensure a secure seal, preventing leaks and maintaining consistent adhesive flow. Regular replacement of the O-rings can help extend the lifespan of your applicator and reduce downtime. Use this kit to keep your hot melt applicator running smoothly and efficiently. 
Keywords: LOCTITE hot melt applicator piston support O-ring kit adhesive seal leak prevention maintenance repair parts",,"https://ik.imagekit.io/lord8131/5538-2_nfzmaoIyH1.jpg,https://ik.imagekit.io/lord8131/5538-1_k9jMAMd3-.jpg,https://ik.imagekit.io/lord8131/5538-3_7ur_UwHYV.jpg",Industrial Chemicals,"Locate O-Ring Kit, Hot Melt Applicator, Piston Support, Industrial Products, Bangladesh Online Shopping, Ecommerce BD, Adhesive Supply, MRO Equipment, Industrial Tools, Bangladesh Market"
5539,LOCTITE 175 Air Hot Melt Applicator 1-Hole Nozzle,"LOCTITE 175 Air Hot Melt Applicator 1-Hole Nozzle is a reliable and efficient tool for applying hot melt adhesives in various industries, including woodworking, packaging, and product assembly. Its pneumatic design provides consistent adhesive flow and minimizes clogging. The applicator features a 1-hole nozzle, allowing for precise adhesive application and reduced waste. Easy to operate and maintain, this applicator is suitable for high-volume production environments. Ideal for bonding paper, plastic, metal, and other materials. It ensures strong and durable bonds. Compatible with most hot melt adhesives. Easy to clean and maintain. 
Keywords: LOCTITE 175 applicator, hot melt gun, adhesive applicator, pneumatic",,"https://ik.imagekit.io/manwar1/5539-3_KYpdAlo6o.jpg,https://ik.imagekit.io/manwar1/5539-2_JAN_Oy1eV.jpg,https://ik.imagekit.io/manwar1/5539-1_Y7f2RmcEk1.jpg",Industrial Chemicals,"Here are the 10 keywords for the ecommerce site:

LOCTITE, 175, Air, Hot, Melt, Applicator, Nozzle, Bangladesh, Adhesive, Industrial"
5540,LOCTITE Dial-A-Seal Spare Parts Kit,"The LOCTITE Dial-A-Seal Spare Parts Kit is a comprehensive solution for maintaining and repairing your LOCTITE Dial-A-Seal dispensers. This kit includes a variety of essential components, such as seals, plungers, and pistons, to ensure your dispensers continue to function optimally. With this kit, you can easily replace worn-out parts and extend the lifespan of your dispensers. The LOCTITE Dial-A-Seal Spare Parts Kit is designed for use with LOCTITE Dial-A-Seal dispensers and is ideal for professionals and DIYers who rely on these dispensers for their daily tasks. • Compatible with LOCTITE Dial-A-Seal dispensers. Keywords: LOCTITE Dial-A-Seal Spare Parts Kit",,"https://ik.imagekit.io/lord8131/5540-1_GP7uxvhzQ.jpg,https://ik.imagekit.io/lord8131/5540-2_B_osQeg6Y.jpg,https://ik.imagekit.io/lord8131/5540-3_YW47PxDTAm.jpg",Industrial Chemicals,"Locate, Seal, Adhesive, Bangladesh, Ecommerce, Online, Shopping, Spare, Parts, Kit"
5541,LOCTITE HM20 PUR Needle Preheater,"The LOCTITE HM20 PUR Needle Preheater is a high-quality device designed to ensure efficient and precise heating of needles and nozzles for optimal dispensing of LOCTITE adhesives and sealants. This preheater features a compact and lightweight design, making it easy to integrate into any production line or workstation. It offers precise temperature control and fast heating times, reducing downtime and increasing productivity. The device is also easy to clean and maintain, ensuring a long lifespan. • Compatible with a wide range of LOCTITE adhesives and sealants. Keywords: adhesive preheater, sealant preheater, LOCTITE preheater, PUR needle preheater, HM20 preheater, needle heater,",,https://emg.trustglobal.eu.org/images/loctite.jpg,Industrial Chemicals,"Loctite HM20, Needle Preheater, Bangladesh, E-commerce, Online Shopping, Industrial Supplies, Hardware Tools, Fasteners, Adhesives, Heat Gun, Bangladesh Products"
5542,LOCTITE HM18 Cartridge Adapter,"LOCTITE HM18 Cartridge Adapter is a reliable and efficient solution for professionals and DIYers alike, allowing for seamless application of LOCTITE HM18 epoxy-based adhesives. This adapter is designed to fit securely onto the cartridge, ensuring a leak-free and mess-free experience. With its durable construction and easy-to-use design, this adapter is perfect for a variety of applications, including bonding, sealing, and coating. Ideal for use in automotive, aerospace, and industrial settings. Key benefits include easy handling, precise control, and reduced waste. LOCTITE HM18 Cartridge Adapter is the perfect accessory for any LOCTITE HM18 user. 
Keywords: LOCTITE HM18 Cartridge Adapter epoxy adhesive cartridge adapter automotive aerospace industrial bonding",,"https://ik.imagekit.io/manwar1/5542-1_F97M55LTN.jpg,https://ik.imagekit.io/manwar1/5542-3_fFJtqGA8Y.jpg,https://ik.imagekit.io/manwar1/5542-2_o42hp5UEh.jpg",Industrial Chemicals,"Locite, HM18, Cartridge, Adapter, Bangladesh, Online Shopping, Ecommerce, Product, Adhesive, Industrial"
5543,LOCTITE HM18 Standard Nozzle,"LOCTITE HM18 Standard Nozzle is a high-quality, precision-engineered nozzle designed for use with LOCTITE HM18 hot melt adhesive. This nozzle is ideal for a variety of applications, including woodworking, packaging, and product assembly. It features a durable stainless steel construction and a precise orifice size for consistent adhesive flow. The nozzle is easy to install and clean, and is compatible with most hot melt adhesive guns. It is also designed for high-temperature applications, making it perfect for use in demanding environments. • Compatible with LOCTITE HM18 hot melt adhesive. Keywords: LOCTITE HM18 Nozzle, hot melt adhesive, nozzle, stainless steel, woodworking, packaging, product assembly, adhesive flow, high-temperature,",,"https://ik.imagekit.io/lord8131/5543-3_Z23EQuact.jpg,https://ik.imagekit.io/lord8131/5543-2_sDIm8kLrw.jpg,https://ik.imagekit.io/lord8131/5543-1_5kJ1ZHJSlW.jpg",Industrial Chemicals,"adhesive, bangladesh, locitite, hm18, standard, nozzle, industrial, maintenance, repair, tools"
5544,LOCTITE Hot Melt Applicator Piston Kit,"The LOCTITE Hot Melt Applicator Piston Kit is a reliable and efficient solution for applying hot melt adhesives in various industrial applications. This kit includes a piston and other necessary components to ensure a smooth and consistent adhesive flow. It is designed to work with LOCTITE hot melt applicators, providing a secure and leak-free connection. The kit is easy to install and maintain, reducing downtime and increasing productivity. Ideal for use in manufacturing, packaging, and woodworking industries. Key benefits include improved adhesive flow, reduced waste, and increased efficiency. Keywords: hot melt applicator piston kit, LOCTITE, adhesive flow, industrial applications, manufacturing, packaging, woodworking, efficient solution, reliable, consistent.",,"https://ik.imagekit.io/manwar1/5544-1_WxKl29aGC.jpg,https://ik.imagekit.io/manwar1/5544-2_H86bIaR8iU.jpg,https://ik.imagekit.io/manwar1/5544-3_Cwh2Y-B-Gg.jpg",Industrial Chemicals,"loctite, hot melt applicator, piston kit, adhesive applicator, industrial adhesives, bangladesh, ecommerce, online shopping, bd, dhaka"
